Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 9.673286e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011256 | lrm: 1.00 | dt: 5818ms | tok/sec: 5,632 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.108601 | lrm: 1.00 | dt: 324ms | tok/sec: 101,144 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.996832 | lrm: 1.00 | dt: 326ms | tok/sec: 100,669 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.704878 | lrm: 1.00 | dt: 328ms | tok/sec: 99,959 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.410487 | lrm: 1.00 | dt: 326ms | tok/sec: 100,625 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.179275 | lrm: 1.00 | dt: 326ms | tok/sec: 100,397 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.983884 | lrm: 1.00 | dt: 327ms | tok/sec: 100,118 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.812600 | lrm: 1.00 | dt: 326ms | tok/sec: 100,411 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.658881 | lrm: 1.00 | dt: 326ms | tok/sec: 100,643 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.483823 | lrm: 1.00 | dt: 327ms | tok/sec: 100,262 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.360716 | lrm: 1.00 | dt: 326ms | tok/sec: 100,389 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.241413 | lrm: 1.00 | dt: 327ms | tok/sec: 100,324 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.114148 | lrm: 1.00 | dt: 351ms | tok/sec: 93,436 | mfu: 0.9% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 7.007884 | lrm: 1.00 | dt: 325ms | tok/sec: 100,722 | mfu: 1.0% | epoch: 1 | remaining: 299s    
step 00157 (15.9%) | loss: 4.652592 | lrm: 1.00 | dt: 327ms | tok/sec: 100,183 | mfu: 1.0% | epoch: 1 | remaining: 252s    
step 00158 (16.0%) | loss: 4.632694 | lrm: 1.00 | dt: 327ms | tok/sec: 100,230 | mfu: 1.0% | epoch: 1 | remaining: 252s    
step 00159 (16.1%) | loss: 4.657589 | lrm: 1.00 | dt: 327ms | tok/sec: 100,146 | mfu: 1.0% | epoch: 1 | remaining: 251s    
step 00160 (16.3%) | loss: 4.624658 | lrm: 1.00 | dt: 327ms | tok/sec: 100,231 | mfu: 1.0% | epoch: 1 | remaining: 251s    
step 00161 (16.4%) | loss: 4.621709 | lrm: 1.00 | dt: 327ms | tok/sec: 100,231 | mfu: 1.0% | epoch: 1 | remaining: 251s    
step 00162 (16.5%) | loss: 4.612851 | lrm: 1.00 | dt: 327ms | tok/sec: 100,140 | mfu: 1.0% | epoch: 1 | remaining: 250s    
step 00163 (16.6%) | loss: 4.601677 | lrm: 1.00 | dt: 327ms | tok/sec: 100,283 | mfu: 1.0% | epoch: 1 | remaining: 250s    
step 00164 (16.7%) | loss: 4.635322 | lrm: 1.00 | dt: 327ms | tok/sec: 100,219 | mfu: 1.0% | epoch: 1 | remaining: 250s    
step 00165 (16.8%) | loss: 4.634984 | lrm: 1.00 | dt: 327ms | tok/sec: 100,216 | mfu: 1.0% | epoch: 1 | remaining: 249s    
step 00166 (16.9%) | loss: 4.622531 | lrm: 1.00 | dt: 327ms | tok/sec: 100,275 | mfu: 1.0% | epoch: 1 | remaining: 249s    
step 00167 (17.0%) | loss: 4.614955 | lrm: 1.00 | dt: 327ms | tok/sec: 100,128 | mfu: 1.0% | epoch: 1 | remaining: 249s    
step 00168 (17.1%) | loss: 4.604356 | lrm: 1.00 | dt: 327ms | tok/sec: 100,199 | mfu: 1.0% | epoch: 1 | remaining: 248s    
step 00169 (17.2%) | loss: 4.575101 | lrm: 1.00 | dt: 327ms | tok/sec: 100,339 | mfu: 1.0% | epoch: 1 | remaining: 248s    
step 00170 (17.3%) | loss: 4.573986 | lrm: 1.00 | dt: 327ms | tok/sec: 100,225 | mfu: 1.0% | epoch: 1 | remaining: 248s    
step 00171 (17.5%) | loss: 4.568820 | lrm: 1.00 | dt: 327ms | tok/sec: 100,120 | mfu: 1.0% | epoch: 1 | remaining: 247s    
step 00172 (17.6%) | loss: 4.568927 | lrm: 1.00 | dt: 327ms | tok/sec: 100,285 | mfu: 1.0% | epoch: 1 | remaining: 247s    
step 00173 (17.7%) | loss: 4.560127 | lrm: 1.00 | dt: 327ms | tok/sec: 100,126 | mfu: 1.0% | epoch: 1 | remaining: 247s    
step 00174 (17.8%) | loss: 4.574183 | lrm: 1.00 | dt: 327ms | tok/sec: 100,176 | mfu: 1.0% | epoch: 1 | remaining: 246s    
step 00175 (17.9%) | loss: 4.595257 | lrm: 1.00 | dt: 327ms | tok/sec: 100,241 | mfu: 1.0% | epoch: 1 | remaining: 246s    
step 00176 (18.0%) | loss: 4.603610 | lrm: 1.00 | dt: 327ms | tok/sec: 100,206 | mfu: 1.0% | epoch: 1 | remaining: 246s    
step 00177 (18.1%) | loss: 4.595297 | lrm: 1.00 | dt: 327ms | tok/sec: 100,176 | mfu: 1.0% | epoch: 1 | remaining: 245s    
step 00178 (18.2%) | loss: 4.565267 | lrm: 1.00 | dt: 327ms | tok/sec: 100,218 | mfu: 1.0% | epoch: 1 | remaining: 245s    
step 00179 (18.3%) | loss: 4.555588 | lrm: 1.00 | dt: 327ms | tok/sec: 100,136 | mfu: 1.0% | epoch: 1 | remaining: 245s    
step 00180 (18.4%) | loss: 4.535237 | lrm: 1.00 | dt: 327ms | tok/sec: 100,191 | mfu: 1.0% | epoch: 1 | remaining: 244s    
step 00181 (18.5%) | loss: 4.510525 | lrm: 1.00 | dt: 327ms | tok/sec: 100,198 | mfu: 1.0% | epoch: 1 | remaining: 244s    
step 00182 (18.7%) | loss: 4.504190 | lrm: 1.00 | dt: 327ms | tok/sec: 100,172 | mfu: 1.0% | epoch: 1 | remaining: 244s    
step 00183 (18.8%) | loss: 4.499335 | lrm: 1.00 | dt: 327ms | tok/sec: 100,169 | mfu: 1.0% | epoch: 1 | remaining: 243s    
step 00184 (18.9%) | loss: 4.503149 | lrm: 1.00 | dt: 327ms | tok/sec: 100,275 | mfu: 1.0% | epoch: 1 | remaining: 243s    
step 00185 (19.0%) | loss: 4.520942 | lrm: 1.00 | dt: 327ms | tok/sec: 100,216 | mfu: 1.0% | epoch: 1 | remaining: 243s    
step 00186 (19.1%) | loss: 4.498133 | lrm: 1.00 | dt: 327ms | tok/sec: 100,162 | mfu: 1.0% | epoch: 1 | remaining: 242s    
step 00187 (19.2%) | loss: 4.503822 | lrm: 1.00 | dt: 327ms | tok/sec: 100,234 | mfu: 1.0% | epoch: 1 | remaining: 242s    
step 00188 (19.3%) | loss: 4.507281 | lrm: 1.00 | dt: 327ms | tok/sec: 100,194 | mfu: 1.0% | epoch: 1 | remaining: 242s    
step 00189 (19.4%) | loss: 4.509407 | lrm: 1.00 | dt: 327ms | tok/sec: 100,183 | mfu: 1.0% | epoch: 1 | remaining: 241s    
step 00190 (19.5%) | loss: 4.530897 | lrm: 1.00 | dt: 327ms | tok/sec: 100,252 | mfu: 1.0% | epoch: 1 | remaining: 241s    
step 00191 (19.6%) | loss: 4.531833 | lrm: 1.00 | dt: 327ms | tok/sec: 100,191 | mfu: 1.0% | epoch: 1 | remaining: 241s    
step 00192 (19.7%) | loss: 4.523228 | lrm: 1.00 | dt: 327ms | tok/sec: 100,122 | mfu: 1.0% | epoch: 1 | remaining: 240s    
step 00193 (19.9%) | loss: 4.522660 | lrm: 1.00 | dt: 327ms | tok/sec: 100,251 | mfu: 1.0% | epoch: 1 | remaining: 240s    
step 00194 (20.0%) | loss: 4.528829 | lrm: 1.00 | dt: 327ms | tok/sec: 100,141 | mfu: 1.0% | epoch: 1 | remaining: 240s    
step 00195 (20.1%) | loss: 4.522262 | lrm: 1.00 | dt: 327ms | tok/sec: 100,240 | mfu: 1.0% | epoch: 1 | remaining: 239s    
step 00196 (20.2%) | loss: 4.528556 | lrm: 1.00 | dt: 327ms | tok/sec: 100,242 | mfu: 1.0% | epoch: 1 | remaining: 239s    
step 00197 (20.3%) | loss: 4.547367 | lrm: 1.00 | dt: 327ms | tok/sec: 100,250 | mfu: 1.0% | epoch: 1 | remaining: 239s    
step 00198 (20.4%) | loss: 4.547671 | lrm: 1.00 | dt: 327ms | tok/sec: 100,173 | mfu: 1.0% | epoch: 1 | remaining: 238s    
step 00199 (20.5%) | loss: 4.526726 | lrm: 1.00 | dt: 327ms | tok/sec: 100,236 | mfu: 1.0% | epoch: 1 | remaining: 238s    
step 00200 (20.6%) | loss: 4.525678 | lrm: 1.00 | dt: 327ms | tok/sec: 100,150 | mfu: 1.0% | epoch: 1 | remaining: 238s    
step 00201 (20.7%) | loss: 4.532798 | lrm: 1.00 | dt: 327ms | tok/sec: 100,175 | mfu: 1.0% | epoch: 1 | remaining: 237s    
step 00202 (20.8%) | loss: 4.548154 | lrm: 1.00 | dt: 326ms | tok/sec: 100,371 | mfu: 1.0% | epoch: 1 | remaining: 237s    
step 00203 (20.9%) | loss: 4.535705 | lrm: 1.00 | dt: 327ms | tok/sec: 100,150 | mfu: 1.0% | epoch: 1 | remaining: 237s    
step 00204 (21.1%) | loss: 4.521569 | lrm: 1.00 | dt: 327ms | tok/sec: 100,264 | mfu: 1.0% | epoch: 1 | remaining: 237s    
step 00205 (21.2%) | loss: 4.513748 | lrm: 1.00 | dt: 327ms | tok/sec: 100,290 | mfu: 1.0% | epoch: 1 | remaining: 236s    
step 00206 (21.3%) | loss: 4.516463 | lrm: 1.00 | dt: 327ms | tok/sec: 100,104 | mfu: 1.0% | epoch: 1 | remaining: 236s    
step 00207 (21.4%) | loss: 4.490611 | lrm: 1.00 | dt: 327ms | tok/sec: 100,246 | mfu: 1.0% | epoch: 1 | remaining: 236s    
step 00208 (21.5%) | loss: 4.486264 | lrm: 1.00 | dt: 327ms | tok/sec: 100,315 | mfu: 1.0% | epoch: 1 | remaining: 235s    
step 00209 (21.6%) | loss: 4.437034 | lrm: 1.00 | dt: 327ms | tok/sec: 100,152 | mfu: 1.0% | epoch: 1 | remaining: 235s    
step 00210 (21.7%) | loss: 4.427606 | lrm: 1.00 | dt: 327ms | tok/sec: 100,250 | mfu: 1.0% | epoch: 1 | remaining: 235s    
step 00211 (21.8%) | loss: 4.431122 | lrm: 1.00 | dt: 327ms | tok/sec: 100,320 | mfu: 1.0% | epoch: 1 | remaining: 234s    
step 00212 (21.9%) | loss: 4.413940 | lrm: 1.00 | dt: 327ms | tok/sec: 100,122 | mfu: 1.0% | epoch: 1 | remaining: 234s    
step 00213 (22.0%) | loss: 4.407205 | lrm: 1.00 | dt: 327ms | tok/sec: 100,243 | mfu: 1.0% | epoch: 1 | remaining: 234s    
step 00214 (22.1%) | loss: 4.409077 | lrm: 1.00 | dt: 327ms | tok/sec: 100,285 | mfu: 1.0% | epoch: 1 | remaining: 233s    
step 00215 (22.3%) | loss: 4.399622 | lrm: 1.00 | dt: 327ms | tok/sec: 100,184 | mfu: 1.0% | epoch: 1 | remaining: 233s    
step 00216 (22.4%) | loss: 4.387007 | lrm: 1.00 | dt: 327ms | tok/sec: 100,245 | mfu: 1.0% | epoch: 1 | remaining: 233s    
step 00217 (22.5%) | loss: 4.412217 | lrm: 1.00 | dt: 327ms | tok/sec: 100,265 | mfu: 1.0% | epoch: 1 | remaining: 232s    
step 00218 (22.6%) | loss: 4.403191 | lrm: 1.00 | dt: 327ms | tok/sec: 100,231 | mfu: 1.0% | epoch: 1 | remaining: 232s    
step 00219 (22.7%) | loss: 4.426958 | lrm: 1.00 | dt: 327ms | tok/sec: 100,280 | mfu: 1.0% | epoch: 1 | remaining: 232s    
step 00220 (22.8%) | loss: 4.400270 | lrm: 1.00 | dt: 327ms | tok/sec: 100,301 | mfu: 1.0% | epoch: 1 | remaining: 231s    
step 00221 (22.9%) | loss: 4.422457 | lrm: 1.00 | dt: 327ms | tok/sec: 100,178 | mfu: 1.0% | epoch: 1 | remaining: 231s    
step 00222 (23.0%) | loss: 4.400304 | lrm: 1.00 | dt: 327ms | tok/sec: 100,326 | mfu: 1.0% | epoch: 1 | remaining: 231s    
step 00223 (23.1%) | loss: 4.404611 | lrm: 1.00 | dt: 327ms | tok/sec: 100,240 | mfu: 1.0% | epoch: 1 | remaining: 230s    
step 00224 (23.2%) | loss: 4.412546 | lrm: 1.00 | dt: 327ms | tok/sec: 100,231 | mfu: 1.0% | epoch: 1 | remaining: 230s    
step 00225 (23.3%) | loss: 4.411202 | lrm: 1.00 | dt: 327ms | tok/sec: 100,266 | mfu: 1.0% | epoch: 1 | remaining: 230s    
step 00226 (23.5%) | loss: 4.427584 | lrm: 1.00 | dt: 327ms | tok/sec: 100,250 | mfu: 1.0% | epoch: 1 | remaining: 229s    
step 00227 (23.6%) | loss: 4.416003 | lrm: 1.00 | dt: 327ms | tok/sec: 100,176 | mfu: 1.0% | epoch: 1 | remaining: 229s    
step 00228 (23.7%) | loss: 4.426960 | lrm: 1.00 | dt: 327ms | tok/sec: 100,273 | mfu: 1.0% | epoch: 1 | remaining: 229s    
step 00229 (23.8%) | loss: 4.416223 | lrm: 1.00 | dt: 327ms | tok/sec: 100,199 | mfu: 1.0% | epoch: 1 | remaining: 228s    
step 00230 (23.9%) | loss: 4.399487 | lrm: 1.00 | dt: 327ms | tok/sec: 100,211 | mfu: 1.0% | epoch: 1 | remaining: 228s    
step 00231 (24.0%) | loss: 4.398147 | lrm: 1.00 | dt: 327ms | tok/sec: 100,262 | mfu: 1.0% | epoch: 1 | remaining: 228s    
step 00232 (24.1%) | loss: 4.400100 | lrm: 1.00 | dt: 327ms | tok/sec: 100,145 | mfu: 1.0% | epoch: 1 | remaining: 227s    
step 00233 (24.2%) | loss: 4.391920 | lrm: 1.00 | dt: 327ms | tok/sec: 100,294 | mfu: 1.0% | epoch: 1 | remaining: 227s    
step 00234 (24.3%) | loss: 4.399584 | lrm: 1.00 | dt: 327ms | tok/sec: 100,269 | mfu: 1.0% | epoch: 1 | remaining: 227s    
step 00235 (24.4%) | loss: 4.390828 | lrm: 1.00 | dt: 327ms | tok/sec: 100,198 | mfu: 1.0% | epoch: 1 | remaining: 226s    
step 00236 (24.5%) | loss: 4.376538 | lrm: 1.00 | dt: 327ms | tok/sec: 100,341 | mfu: 1.0% | epoch: 1 | remaining: 226s    
step 00237 (24.6%) | loss: 4.378503 | lrm: 1.00 | dt: 327ms | tok/sec: 100,190 | mfu: 1.0% | epoch: 1 | remaining: 226s    
step 00238 (24.8%) | loss: 4.371954 | lrm: 1.00 | dt: 327ms | tok/sec: 100,172 | mfu: 1.0% | epoch: 1 | remaining: 225s    
step 00239 (24.9%) | loss: 4.369704 | lrm: 1.00 | dt: 327ms | tok/sec: 100,320 | mfu: 1.0% | epoch: 1 | remaining: 225s    
step 00240 (25.0%) | loss: 4.398626 | lrm: 1.00 | dt: 327ms | tok/sec: 100,202 | mfu: 1.0% | epoch: 1 | remaining: 225s    
step 00241 (25.1%) | loss: 4.388057 | lrm: 1.00 | dt: 327ms | tok/sec: 100,082 | mfu: 1.0% | epoch: 1 | remaining: 224s    
step 00242 (25.2%) | loss: 4.378805 | lrm: 1.00 | dt: 327ms | tok/sec: 100,342 | mfu: 1.0% | epoch: 1 | remaining: 224s    
step 00243 (25.3%) | loss: 4.382861 | lrm: 1.00 | dt: 327ms | tok/sec: 100,229 | mfu: 1.0% | epoch: 1 | remaining: 224s    
step 00244 (25.4%) | loss: 4.393632 | lrm: 1.00 | dt: 327ms | tok/sec: 100,124 | mfu: 1.0% | epoch: 1 | remaining: 223s    
step 00245 (25.5%) | loss: 4.382655 | lrm: 1.00 | dt: 327ms | tok/sec: 100,321 | mfu: 1.0% | epoch: 1 | remaining: 223s    
step 00246 (25.6%) | loss: 4.370217 | lrm: 1.00 | dt: 327ms | tok/sec: 100,135 | mfu: 1.0% | epoch: 1 | remaining: 223s    
step 00247 (25.7%) | loss: 4.346621 | lrm: 1.00 | dt: 327ms | tok/sec: 100,251 | mfu: 1.0% | epoch: 1 | remaining: 222s    
step 00248 (25.8%) | loss: 4.364877 | lrm: 1.00 | dt: 327ms | tok/sec: 100,308 | mfu: 1.0% | epoch: 1 | remaining: 222s    
step 00249 (26.0%) | loss: 4.363342 | lrm: 1.00 | dt: 327ms | tok/sec: 100,199 | mfu: 1.0% | epoch: 1 | remaining: 222s    
step 00250 (26.1%) | loss: 4.350673 | lrm: 1.00 | dt: 327ms | tok/sec: 100,156 | mfu: 1.0% | epoch: 1 | remaining: 221s    
step 00251 (26.2%) | loss: 4.366003 | lrm: 1.00 | dt: 327ms | tok/sec: 100,253 | mfu: 1.0% | epoch: 1 | remaining: 221s    
step 00252 (26.3%) | loss: 4.348215 | lrm: 1.00 | dt: 327ms | tok/sec: 100,112 | mfu: 1.0% | epoch: 1 | remaining: 221s    
step 00253 (26.4%) | loss: 4.339660 | lrm: 1.00 | dt: 327ms | tok/sec: 100,251 | mfu: 1.0% | epoch: 1 | remaining: 220s    
step 00254 (26.5%) | loss: 4.346964 | lrm: 1.00 | dt: 327ms | tok/sec: 100,321 | mfu: 1.0% | epoch: 1 | remaining: 220s    
step 00255 (26.6%) | loss: 4.334692 | lrm: 1.00 | dt: 327ms | tok/sec: 100,208 | mfu: 1.0% | epoch: 1 | remaining: 220s    
step 00256 (26.7%) | loss: 4.328498 | lrm: 1.00 | dt: 327ms | tok/sec: 100,249 | mfu: 1.0% | epoch: 1 | remaining: 220s    
step 00257 (26.8%) | loss: 4.344092 | lrm: 1.00 | dt: 327ms | tok/sec: 100,288 | mfu: 1.0% | epoch: 1 | remaining: 219s    
step 00258 (26.9%) | loss: 4.345621 | lrm: 1.00 | dt: 327ms | tok/sec: 100,211 | mfu: 1.0% | epoch: 1 | remaining: 219s    
step 00259 (27.0%) | loss: 4.334586 | lrm: 1.00 | dt: 327ms | tok/sec: 100,246 | mfu: 1.0% | epoch: 1 | remaining: 219s    
step 00260 (27.2%) | loss: 4.317966 | lrm: 1.00 | dt: 327ms | tok/sec: 100,201 | mfu: 1.0% | epoch: 1 | remaining: 218s    
step 00261 (27.3%) | loss: 4.310629 | lrm: 1.00 | dt: 327ms | tok/sec: 100,261 | mfu: 1.0% | epoch: 1 | remaining: 218s    
step 00262 (27.4%) | loss: 4.319086 | lrm: 1.00 | dt: 327ms | tok/sec: 100,274 | mfu: 1.0% | epoch: 1 | remaining: 218s    
step 00263 (27.5%) | loss: 4.305754 | lrm: 1.00 | dt: 327ms | tok/sec: 100,201 | mfu: 1.0% | epoch: 1 | remaining: 217s    
step 00264 (27.6%) | loss: 4.304606 | lrm: 1.00 | dt: 327ms | tok/sec: 100,134 | mfu: 1.0% | epoch: 1 | remaining: 217s    
step 00265 (27.7%) | loss: 4.329824 | lrm: 1.00 | dt: 327ms | tok/sec: 100,182 | mfu: 1.0% | epoch: 1 | remaining: 217s    
step 00266 (27.8%) | loss: 4.342643 | lrm: 1.00 | dt: 327ms | tok/sec: 100,230 | mfu: 1.0% | epoch: 1 | remaining: 216s    
step 00267 (27.9%) | loss: 4.330247 | lrm: 1.00 | dt: 327ms | tok/sec: 100,296 | mfu: 1.0% | epoch: 1 | remaining: 216s    
step 00268 (28.0%) | loss: 4.349401 | lrm: 1.00 | dt: 327ms | tok/sec: 100,156 | mfu: 1.0% | epoch: 1 | remaining: 216s    
step 00269 (28.1%) | loss: 4.348566 | lrm: 1.00 | dt: 327ms | tok/sec: 100,245 | mfu: 1.0% | epoch: 1 | remaining: 215s    
step 00270 (28.2%) | loss: 4.329219 | lrm: 1.00 | dt: 327ms | tok/sec: 100,352 | mfu: 1.0% | epoch: 1 | remaining: 215s    
step 00271 (28.4%) | loss: 4.322367 | lrm: 1.00 | dt: 327ms | tok/sec: 100,151 | mfu: 1.0% | epoch: 1 | remaining: 215s    
step 00272 (28.5%) | loss: 4.341619 | lrm: 1.00 | dt: 327ms | tok/sec: 100,164 | mfu: 1.0% | epoch: 1 | remaining: 214s    
step 00273 (28.6%) | loss: 4.312518 | lrm: 1.00 | dt: 327ms | tok/sec: 100,291 | mfu: 1.0% | epoch: 1 | remaining: 214s    
step 00274 (28.7%) | loss: 4.308624 | lrm: 1.00 | dt: 327ms | tok/sec: 100,105 | mfu: 1.0% | epoch: 1 | remaining: 214s    
step 00275 (28.8%) | loss: 4.300299 | lrm: 1.00 | dt: 327ms | tok/sec: 100,229 | mfu: 1.0% | epoch: 1 | remaining: 213s    
step 00276 (28.9%) | loss: 4.296905 | lrm: 1.00 | dt: 327ms | tok/sec: 100,252 | mfu: 1.0% | epoch: 1 | remaining: 213s    
step 00277 (29.0%) | loss: 4.289276 | lrm: 1.00 | dt: 327ms | tok/sec: 100,187 | mfu: 1.0% | epoch: 1 | remaining: 213s    
step 00278 (29.1%) | loss: 4.280823 | lrm: 1.00 | dt: 327ms | tok/sec: 100,119 | mfu: 1.0% | epoch: 1 | remaining: 212s    
step 00279 (29.2%) | loss: 4.287602 | lrm: 1.00 | dt: 327ms | tok/sec: 100,201 | mfu: 1.0% | epoch: 1 | remaining: 212s    
step 00280 (29.3%) | loss: 4.300461 | lrm: 1.00 | dt: 327ms | tok/sec: 100,199 | mfu: 1.0% | epoch: 1 | remaining: 212s    
step 00281 (29.4%) | loss: 4.306059 | lrm: 1.00 | dt: 327ms | tok/sec: 100,328 | mfu: 1.0% | epoch: 1 | remaining: 211s    
step 00282 (29.6%) | loss: 4.307897 | lrm: 1.00 | dt: 327ms | tok/sec: 100,202 | mfu: 1.0% | epoch: 1 | remaining: 211s    
step 00283 (29.7%) | loss: 4.292058 | lrm: 1.00 | dt: 327ms | tok/sec: 100,180 | mfu: 1.0% | epoch: 1 | remaining: 211s    
step 00284 (29.8%) | loss: 4.286233 | lrm: 1.00 | dt: 327ms | tok/sec: 100,267 | mfu: 1.0% | epoch: 1 | remaining: 210s    
step 00285 (29.9%) | loss: 4.293514 | lrm: 1.00 | dt: 327ms | tok/sec: 100,213 | mfu: 1.0% | epoch: 1 | remaining: 210s    
step 00286 (30.0%) | loss: 4.299294 | lrm: 1.00 | dt: 327ms | tok/sec: 100,133 | mfu: 1.0% | epoch: 1 | remaining: 210s    
step 00287 (30.1%) | loss: 4.310837 | lrm: 1.00 | dt: 327ms | tok/sec: 100,252 | mfu: 1.0% | epoch: 1 | remaining: 209s    
step 00288 (30.2%) | loss: 4.315372 | lrm: 1.00 | dt: 327ms | tok/sec: 100,233 | mfu: 1.0% | epoch: 1 | remaining: 209s    
step 00289 (30.3%) | loss: 4.302197 | lrm: 1.00 | dt: 327ms | tok/sec: 100,184 | mfu: 1.0% | epoch: 1 | remaining: 209s    
step 00290 (30.4%) | loss: 4.326514 | lrm: 1.00 | dt: 327ms | tok/sec: 100,204 | mfu: 1.0% | epoch: 1 | remaining: 208s    
step 00291 (30.5%) | loss: 4.337329 | lrm: 1.00 | dt: 328ms | tok/sec: 100,029 | mfu: 1.0% | epoch: 1 | remaining: 208s    
step 00292 (30.6%) | loss: 4.318813 | lrm: 1.00 | dt: 327ms | tok/sec: 100,249 | mfu: 1.0% | epoch: 1 | remaining: 208s    
step 00293 (30.8%) | loss: 4.283572 | lrm: 1.00 | dt: 327ms | tok/sec: 100,160 | mfu: 1.0% | epoch: 1 | remaining: 207s    
step 00294 (30.9%) | loss: 4.279256 | lrm: 1.00 | dt: 327ms | tok/sec: 100,232 | mfu: 1.0% | epoch: 1 | remaining: 207s    
step 00295 (31.0%) | loss: 4.277563 | lrm: 1.00 | dt: 327ms | tok/sec: 100,221 | mfu: 1.0% | epoch: 1 | remaining: 207s    
step 00296 (31.1%) | loss: 4.300796 | lrm: 1.00 | dt: 327ms | tok/sec: 100,281 | mfu: 1.0% | epoch: 1 | remaining: 206s    
step 00297 (31.2%) | loss: 4.313660 | lrm: 1.00 | dt: 327ms | tok/sec: 100,223 | mfu: 1.0% | epoch: 1 | remaining: 206s    
step 00298 (31.3%) | loss: 4.306601 | lrm: 1.00 | dt: 327ms | tok/sec: 100,199 | mfu: 1.0% | epoch: 1 | remaining: 206s    
step 00299 (31.4%) | loss: 4.291909 | lrm: 1.00 | dt: 327ms | tok/sec: 100,223 | mfu: 1.0% | epoch: 1 | remaining: 205s    
step 00300 (31.5%) | loss: 4.280225 | lrm: 1.00 | dt: 327ms | tok/sec: 100,262 | mfu: 1.0% | epoch: 1 | remaining: 205s    
step 00301 (31.6%) | loss: 4.271202 | lrm: 1.00 | dt: 327ms | tok/sec: 100,206 | mfu: 1.0% | epoch: 1 | remaining: 205s    
step 00302 (31.7%) | loss: 4.270942 | lrm: 1.00 | dt: 327ms | tok/sec: 100,269 | mfu: 1.0% | epoch: 1 | remaining: 204s    
step 00303 (31.8%) | loss: 4.247497 | lrm: 1.00 | dt: 327ms | tok/sec: 100,201 | mfu: 1.0% | epoch: 1 | remaining: 204s    
step 00304 (32.0%) | loss: 4.250189 | lrm: 1.00 | dt: 327ms | tok/sec: 100,175 | mfu: 1.0% | epoch: 1 | remaining: 204s    
step 00305 (32.1%) | loss: 4.250089 | lrm: 1.00 | dt: 327ms | tok/sec: 100,230 | mfu: 1.0% | epoch: 1 | remaining: 203s    
step 00306 (32.2%) | loss: 4.256995 | lrm: 1.00 | dt: 327ms | tok/sec: 100,238 | mfu: 1.0% | epoch: 1 | remaining: 203s    
step 00307 (32.3%) | loss: 4.284683 | lrm: 1.00 | dt: 327ms | tok/sec: 100,247 | mfu: 1.0% | epoch: 1 | remaining: 203s    
step 00308 (32.4%) | loss: 4.291132 | lrm: 1.00 | dt: 327ms | tok/sec: 100,200 | mfu: 1.0% | epoch: 1 | remaining: 203s    
step 00309 (32.5%) | loss: 4.314089 | lrm: 1.00 | dt: 327ms | tok/sec: 100,293 | mfu: 1.0% | epoch: 1 | remaining: 202s    
step 00310 (32.6%) | loss: 4.284326 | lrm: 1.00 | dt: 327ms | tok/sec: 100,259 | mfu: 1.0% | epoch: 1 | remaining: 202s    
step 00311 (32.7%) | loss: 4.275255 | lrm: 1.00 | dt: 327ms | tok/sec: 100,080 | mfu: 1.0% | epoch: 1 | remaining: 202s    
step 00312 (32.8%) | loss: 4.257992 | lrm: 1.00 | dt: 327ms | tok/sec: 100,198 | mfu: 1.0% | epoch: 1 | remaining: 201s    
step 00313 (32.9%) | loss: 4.257041 | lrm: 1.00 | dt: 327ms | tok/sec: 100,262 | mfu: 1.0% | epoch: 1 | remaining: 201s    
step 00314 (33.0%) | loss: 4.270947 | lrm: 1.00 | dt: 327ms | tok/sec: 100,183 | mfu: 1.0% | epoch: 1 | remaining: 201s    
step 00315 (33.2%) | loss: 4.261273 | lrm: 1.00 | dt: 327ms | tok/sec: 100,287 | mfu: 1.0% | epoch: 1 | remaining: 200s    
